imagem,ground_truth,detectado,acerto
00295b41-be1e-418a-aa1e-87bed2f4f220_jpg.rf.f65a02254f9be128e50713d0628a9691.jpg,JXH6563,JXH6563,True
0077dffb-63ac-4711-a064-ce45c93a66b9_jpg.rf.6d26823ef23a75172dea6179c58282e3.jpg,PNB825I,PNB825I,True
0077dffb-63ac-4711-a064-ce45c93a66b9_jpg.rf.8711c4c12a1213c5e9539c77362c96ea.jpg,PNB825I,PNB825I,True
00a170f0-eeb2-4ea9-8ad8-4c86feb3d89e_jpg.rf.dfcc4244fc0ee7296fef1f0d8f1723d1.jpg,HHB4C45,HHB4C45,True
00c9a760-d879-469f-8143-e0be5451eed2_jpg.rf.dd69f8c580fd91d7c414eea4e150717c.jpg,FTC7O74,FTIC7O74,False
00cd7cc2-f19c-4ce7-8ac8-b10218d6a6c8_jpg.rf.baa8fdec29fc6276d3668db3ff131bb6.jpg,PHT5F76,PHT5F76,True
0137f583-8dbd-4baa-888d-7f2fecc075bc_jpg.rf.ab7ef0867f7d79759dd729863a3fd087.jpg,ATCI966,ATCI966,True
0173239b-e43e-4554-8a11-0e3152716620_jpg.rf.4d173184a871d0d3210481d2acefc043.jpg,JHP6I97,JHP6I97,True
01dce26b-9b55-4e3f-8f15-7176a67d2ff8_jpg.rf.70901d721596b9e5ca5b1aa298bd5775.jpg,DEA5O5I,DEA5O5I,True
021d1c37-6983-40ad-8a04-14d7a39036e5_jpg.rf.63f52684a57535e188bbd15acb9e2ba1.jpg,AZN9J67,AZN9J67,True
021d1c37-6983-40ad-8a04-14d7a39036e5_jpg.rf.f58b29ec0da333a8ff614a0e157e18e2.jpg,AZN9J67,AZN9J67,True
0245ad01-055f-4956-b73a-245d8d363798_jpg.rf.10c170bb0784e9969db5fc426c9b2085.jpg,ZX3B66,ZX3B66,True
0245ad01-055f-4956-b73a-245d8d363798_jpg.rf.f22504b0c7fab2c1dc79628d1fb51358.jpg,ZX3B66,ZX3B66,True
0271e16f-ee1f-4af3-9b93-d1d8049e4025_jpg.rf.ff2bcbc475f26dfbbbc76ca4cb215a74.jpg,HLA0F38,HLA0F38,True
029ef935-30df-4241-9b74-73850191baee_jpg.rf.2922fd1b11b42bd6f3c26d5911a1ab45.jpg,BPC5767,BPC5767,True
02ac3275-891a-4213-8adc-a9cfa08aa54e_jpg.rf.306a958f8adce2404aa6ce0e7632336e.jpg,EXR5I2I,EXR5I2I,True
02d43861-e65d-4a88-8324-db315ec2af4b_jpg.rf.48cb818b329993beec12940bed1d2831.jpg,DJM342I,DJM342I,True
03145161-6501-4432-b6e9-190a503dee5f_jpg.rf.ec26e7f5532db4a5bcf45c91779bc9ba.jpg,PHX0F24,PHX0F24,True
03495deb-da50-43e4-b0cd-7c028515d791_jpg.rf.1ffa1697c2c168e42d06c3f688ef4c09.jpg,BCS8C52,BCS8C52,True
0361accf-cbbb-4647-98a5-561e35896a9e_jpg.rf.eee1d7e19fcfd241fc1686f9227a5769.jpg,NOS8588,NOS8588,True
03a6dddc-aaab-4b70-bb64-fff98c546c32_jpg.rf.65ef63d5836a09011bdaeb5edef69233.jpg,HOG4II8,MHIOG4HU8B,False
